Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,382.260010,389.309998,363.290009,367.950012,362.247437,469119500
2022-09-26,366.410004,372.299988,357.040009,357.179993,351.644348,578341000
2022-10-03,361.079987,379.459991,359.209991,362.790009,357.167389,471548000
2022-10-10,363.959991,370.260010,348.109985,357.630005,352.087341,516508900
2022-10-17,364.010010,375.450012,357.279999,374.290009,368.489166,489399500
2022-10-24,375.890015,389.519989,373.109985,389.019989,382.990845,450644300
2022-10-31,386.440002,390.390015,368.790009,376.350006,370.517242,499634600
2022-11-07,377.709991,399.350006,373.609985,398.510010,392.333801,466719200
2022-11-14,396.660004,402.309998,390.140015,396.029999,389.892242,401025300
2022-11-21,394.640015,402.929993,392.660004,402.329987,396.094574,210479200
2022-11-28,399.089996,410.000000,393.299988,406.910004,400.603638,426499200
2022-12-05,403.950012,404.929993,391.640015,393.279999,387.184845,363375500
2022-12-12,394.109985,410.489990,381.040009,383.269989,377.330017,544863500
2022-12-19,383.470001,387.410004,374.769989,382.910004,378.706665,392450900
2022-12-26,382.790009,384.350006,376.420013,382.429993,378.231873,273542800
2023-01-02,384.369995,389.250000,377.829987,388.079987,383.819885,341944900
2023-01-09,390.369995,399.100006,386.269989,398.500000,394.125488,362278900
2023-01-16,398.480011,400.230011,387.260010,395.880005,391.534271,341074900
2023-01-23,396.720001,408.160004,393.559998,405.679993,401.226685,369137600
2023-01-30,402.799988,418.309998,400.279999,412.350006,407.823486,458864300
2023-02-06,409.790009,416.489990,405.010010,408.040009,403.560791,376978100
2023-02-13,408.720001,415.049988,404.049988,407.260010,402.789368,380547800
2023-02-20,403.059998,404.160004,393.640015,396.380005,392.028778,370835000
2023-02-27,399.869995,404.450012,392.329987,404.190002,399.753021,451837900
2023-03-06,405.049988,407.450012,384.320007,385.910004,381.673737,557051400
2023-03-13,381.809998,396.470001,380.649994,389.989990,385.708893,764346900
2023-03-20,390.799988,402.489990,389.399994,395.750000,392.899506,523360300
2023-03-27,398.119995,409.700012,393.690002,409.390015,406.441254,396282600
2023-04-03,408.850006,411.920013,405.679993,409.190002,406.242706,262936100
2023-04-10,406.609985,415.089996,405.970001,412.459991,409.489136,373375600
2023-04-17,412.369995,415.720001,410.170013,412.200012,409.231018,334521500
2023-04-24,411.989990,415.940002,403.779999,415.929993,412.934113,424849800
2023-05-01,415.470001,417.619995,403.739990,412.630005,409.657928,440398500
2023-05-08,412.970001,414.540009,408.869995,411.589996,408.625397,336006300
2023-05-15,412.220001,420.720001,410.230011,418.619995,415.604767,400138800
2023-05-22,418.640015,420.769989,409.880005,420.019989,416.994659,421134200
2023-05-29,422.029999,428.739990,416.220001,427.920013,424.837799,363259500
2023-06-05,428.279999,431.989990,425.820007,429.899994,426.803497,362551300
2023-06-12,430.920013,443.899994,430.170013,439.459991,436.294647,497040500
2023-06-19,437.450012,438.369995,432.470001,433.209991,431.687286,315854400
2023-06-26,432.619995,444.299988,431.190002,443.279999,441.721893,394077100
2023-07-03,442.920013,444.079987,437.059998,438.549988,437.008514,257946200
2023-07-10,438.179993,451.359985,437.589996,449.279999,447.700806,361018800
2023-07-17,449.130005,456.429993,449.079987,452.179993,450.590607,341153300
2023-07-24,453.369995,459.440002,451.549988,456.920013,455.313965,352473700
2023-07-31,457.410004,458.160004,446.269989,446.809998,445.239471,375593700
2023-08-07,448.709991,451.700012,443.350006,445.649994,444.083557,370178500
2023-08-14,444.700012,448.109985,433.010010,436.500000,434.965729,398151800
2023-08-21,437.549988,445.220001,435.000000,439.970001,438.423523,393065300
2023-08-28,442.239990,453.670013,439.970001,451.190002,449.604095,338691500
2023-09-04,450.730011,451.059998,442.750000,445.519989,443.954010,257939800
2023-09-11,448.239990,451.079987,442.920013,443.369995,441.811584,383137000
