Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,63.875000,67.187500,60.593750,62.796875,48.777622,122700
2001-01-08,62.500000,67.562500,60.937500,66.375000,51.556923,120400
2001-01-15,66.046875,69.875000,65.468750,69.062500,53.644428,155500
2001-01-22,68.562500,70.750000,68.000000,68.593750,53.280331,197300
2001-01-29,68.559998,70.459999,66.919998,66.919998,51.980236,57400
2001-02-05,66.820000,67.900002,63.080002,63.130001,49.036377,154400
2001-02-12,63.220001,65.260002,61.880001,62.580002,48.609146,95500
2001-02-19,62.529999,62.529999,56.709999,58.799999,45.673016,106000
2001-02-26,59.160000,59.790001,55.430000,56.880001,44.181644,80700
2001-03-05,57.180000,59.270000,55.150002,55.500000,43.109730,869800
2001-03-12,53.959999,54.119999,50.919998,51.130001,39.746933,387200
2001-03-19,51.290001,53.180000,48.430000,52.080002,40.485439,748300
2001-03-26,52.680000,53.660000,49.830002,50.740002,39.443756,861400
2001-04-02,51.000000,51.130001,46.660000,49.000000,38.091141,820700
2001-04-09,49.500000,52.950001,48.599998,52.930000,41.146202,1149000
2001-04-16,52.730000,58.360001,51.779999,57.950001,45.048599,425400
2001-04-23,56.959999,57.070000,54.650002,57.009998,44.317867,687000
2001-04-30,57.750000,59.630001,56.549999,58.709999,45.639397,801900
2001-05-07,58.990002,58.990002,56.849998,57.040001,44.341183,623400
2001-05-14,56.630001,59.970001,56.150002,59.290001,46.090275,393900
2001-05-21,59.709999,61.799999,59.150002,59.150002,45.981438,526000
2001-05-28,59.049999,59.049999,56.000000,57.349998,44.582169,221100
2001-06-04,57.360001,59.349998,57.029999,58.220001,45.258484,1121900
2001-06-11,58.080002,58.080002,53.730000,54.389999,42.296127,144400
2001-06-18,54.400002,56.009998,53.660000,54.869999,42.669422,118500
2001-06-25,55.099998,56.520000,53.889999,55.799999,43.392609,223300
2001-07-02,55.490002,56.240002,52.820000,52.820000,41.075230,222900
2001-07-09,53.200001,54.570000,51.730000,54.389999,42.296127,605000
2001-07-16,54.279999,54.500000,53.080002,53.799999,41.837330,241700
2001-07-23,53.910000,54.040001,51.529999,53.599998,41.681774,136500
2001-07-30,53.910000,54.700001,53.330002,54.119999,42.086155,134100
2001-08-06,53.980000,53.980000,51.630001,52.619999,40.919693,145600
2001-08-13,52.689999,53.029999,50.580002,50.860001,39.551041,435300
2001-08-20,50.820000,52.220001,50.209999,52.060001,40.484219,302500
2001-08-27,52.169998,52.380001,49.000000,49.369999,38.392361,213400
2001-09-03,49.540001,50.580002,46.799999,46.799999,36.393806,155200
2001-09-10,46.459999,47.639999,46.459999,47.459999,36.907043,55200
2001-09-17,46.000000,46.240002,40.250000,41.500000,32.272282,691100
2001-09-24,43.099998,44.549999,42.500000,44.500000,34.605225,415400
2001-10-01,44.029999,46.950001,43.930000,46.459999,36.129410,692200
2001-10-08,45.650002,48.049999,45.509998,47.919998,37.331043,594300
2001-10-15,47.500000,48.869999,46.279999,47.279999,36.832447,299700
2001-10-22,47.070000,49.230000,46.970001,48.970001,38.149021,312500
2001-10-29,48.700001,48.700001,46.410000,48.060001,37.440098,673200
2001-11-05,49.000000,50.689999,48.590000,50.000000,38.951412,609700
2001-11-12,49.000000,51.529999,48.750000,51.009998,39.738235,1275100
2001-11-19,51.200001,51.639999,50.360001,51.279999,39.948563,586400
2001-11-26,51.730000,52.410000,50.570000,51.119999,39.823914,658100
2001-12-03,50.900002,52.939999,50.439999,52.040001,40.540627,675800
2001-12-10,51.750000,52.049999,49.849998,50.570000,39.395454,1542100
2001-12-17,50.500000,51.799999,50.500000,51.380001,40.077000,947800
2001-12-24,51.349998,52.090000,51.020000,51.700001,40.326614,537900
2001-12-31,51.790001,52.610001,50.500000,52.250000,40.755619,593800
2002-01-07,52.480000,52.549999,51.029999,51.150002,39.897598,828200
2002-01-14,51.099998,51.200001,49.860001,50.029999,39.023991,929800
2002-01-21,50.299999,50.529999,49.340000,50.169998,39.133179,376300
2002-01-28,50.369999,50.450001,48.060001,49.799999,38.844601,821600
2002-02-04,49.400002,49.400002,47.500000,48.500000,37.830578,945400
2002-02-11,48.570000,50.000000,48.520000,48.770000,38.041176,426800
2002-02-18,48.200001,48.349998,46.860001,47.610001,37.136360,446500
2002-02-25,47.799999,49.380001,47.799999,49.380001,38.516972,340100
2002-03-04,49.610001,51.330002,49.360001,50.930000,39.725994,457400
2002-03-11,50.869999,51.360001,50.049999,50.630001,39.540531,489300
2002-03-18,50.860001,51.099998,49.230000,49.849998,38.931377,450100
2002-03-25,49.830002,50.000000,48.930000,49.669998,38.790806,448100
2002-04-01,49.220001,49.860001,47.970001,48.080002,37.549057,445800
2002-04-08,47.340000,48.459999,46.880001,47.369999,36.994568,1031000
2002-04-15,47.570000,48.490002,46.880001,48.049999,37.525631,256200
2002-04-22,47.650002,47.730000,45.250000,45.250000,35.338928,345100
2002-04-29,45.419998,46.060001,44.459999,44.750000,34.948429,403500
2002-05-06,44.509998,45.919998,43.000000,44.029999,34.386139,702100
2002-05-13,44.119999,46.869999,44.119999,46.840000,36.580658,430300
2002-05-20,46.599998,46.599998,44.900002,45.299999,35.377949,250200
2002-05-27,45.509998,45.509998,44.000000,44.340000,34.628223,364800
2002-06-03,44.470001,44.570000,41.779999,42.480000,33.175632,586300
2002-06-10,42.730000,43.150002,40.099998,41.680000,32.550842,610400
2002-06-17,42.000000,43.139999,39.849998,40.080002,31.344166,579700
2002-06-24,39.849998,41.200001,38.580002,40.200001,31.438017,796700
2002-07-01,40.320000,40.549999,37.669998,40.299999,31.516207,396500
2002-07-08,40.439999,40.439999,36.230000,37.650002,29.443804,667400
2002-07-15,37.060001,38.349998,34.830002,34.860001,27.261921,879600
2002-07-22,34.720001,35.889999,32.430000,35.599998,27.840635,2891400
2002-07-29,36.740002,38.270000,35.599998,35.849998,28.036135,1367600
2002-08-05,35.849998,38.250000,34.660000,37.990002,29.709705,727600
2002-08-12,37.099998,39.410000,36.560001,39.049999,30.538677,810100
2002-08-19,38.849998,40.660000,38.849998,39.419998,30.828011,1091100
2002-08-26,39.810001,40.139999,37.610001,38.049999,29.756630,1790000
2002-09-02,37.450001,37.639999,36.299999,37.349998,29.209206,287700
2002-09-09,36.900002,38.830002,36.669998,37.169998,29.068424,383200
2002-09-16,37.310001,38.000000,35.169998,35.209999,27.584549,512800
2002-09-23,34.900002,36.160000,34.369999,34.740002,27.216351,764700
2002-09-30,33.900002,35.709999,33.389999,33.599998,26.323233,2679100
2002-10-07,33.700001,35.849998,32.750000,35.439999,27.764748,840300
2002-10-14,35.150002,37.669998,35.150002,37.500000,29.378616,1909000
2002-10-21,37.220001,38.110001,36.759998,37.849998,29.652811,1060300
2002-10-28,38.400002,38.400002,36.369999,37.889999,29.684155,1522300
2002-11-04,38.599998,39.130001,37.549999,37.700001,29.535284,1622800
2002-11-11,37.599998,38.580002,36.830002,38.400002,30.083698,705600
2002-11-18,38.900002,39.529999,37.509998,39.029999,30.577257,1346900
2002-11-25,39.220001,39.639999,38.310001,39.299999,30.788782,874900
2002-12-02,40.150002,40.160000,37.639999,38.250000,29.966190,1624500
2002-12-09,38.209999,38.340000,37.110001,37.200001,29.143576,2099300
2002-12-16,37.349998,38.029999,36.540001,37.189999,29.217434,2636000
2002-12-23,36.959999,37.540001,36.180000,36.369999,28.573208,1470900
2002-12-30,36.369999,37.869999,36.009998,37.720001,29.633802,3346500
2003-01-06,37.959999,38.650002,37.540001,38.540001,30.278008,1194100
2003-01-13,38.919998,38.919998,37.049999,37.099998,29.146704,2912000
2003-01-20,37.610001,37.610001,35.740002,35.939999,28.235407,1723400
2003-01-27,35.419998,36.240002,34.849998,35.459999,27.858290,2658100
2003-02-03,35.549999,35.950001,34.389999,34.669998,27.237642,1497700
2003-02-10,34.720001,35.160000,33.540001,34.599998,27.182648,1128000
2003-02-17,35.029999,35.830002,34.950001,35.520000,27.905443,1412400
2003-02-24,35.619999,35.619999,34.250000,35.369999,27.787586,1665200
2003-03-03,35.599998,35.820000,33.799999,34.669998,27.237642,1059000
2003-03-10,34.500000,35.599998,33.320000,35.209999,27.720200,1143500
2003-03-17,35.150002,38.040001,34.930000,38.009998,29.924580,2384800
2003-03-24,37.200001,37.349998,36.349998,36.599998,28.814520,1119400
2003-03-31,35.869999,37.770000,35.680000,37.320000,29.381372,5683200
2003-04-07,38.380001,38.490002,36.369999,36.790001,28.964119,792600
2003-04-14,36.599998,37.900002,36.599998,37.830002,29.782879,1308500
2003-04-21,37.980000,38.849998,37.480000,37.900002,29.837994,1217600
2003-04-28,38.150002,39.279999,37.779999,39.240002,30.892937,2249500
2003-05-05,39.139999,39.790001,38.820000,39.470001,31.074034,2429500
2003-05-12,39.599998,40.320000,38.919998,39.810001,31.341707,1210200
2003-05-19,39.689999,39.740002,38.410000,39.150002,30.822096,1399500
2003-05-26,38.730000,40.689999,38.730000,40.669998,32.018749,585100
2003-06-02,41.080002,42.549999,40.450001,41.380001,32.577709,1829700
2003-06-09,41.380001,42.189999,40.830002,41.439999,32.624966,1127300
2003-06-16,41.740002,42.900002,41.689999,41.869999,33.031929,2676600
2003-06-23,41.500000,41.730000,40.869999,41.000000,32.345558,2583800
2003-06-30,41.480000,42.029999,40.450001,41.570000,32.795235,2874900
2003-07-07,42.209999,42.959999,41.660000,42.439999,33.481602,865900
2003-07-14,43.080002,43.189999,41.500000,42.150002,33.252827,1695700
2003-07-21,41.950001,42.480000,41.259998,42.259998,33.339592,972100
2003-07-28,42.169998,42.740002,41.509998,41.639999,32.850460,1057400
2003-08-04,41.650002,41.860001,40.580002,41.310001,32.590126,1544600
2003-08-11,41.220001,42.070000,41.130001,41.950001,33.095024,555600
2003-08-18,42.070000,43.200001,41.950001,42.349998,33.410587,2108700
2003-08-25,42.150002,43.160000,41.830002,43.080002,33.986515,1662000
2003-09-01,43.330002,44.220001,43.000000,43.730000,34.499294,982300
2003-09-08,43.759998,44.380001,43.139999,43.790001,34.546646,1326500
2003-09-15,43.799999,44.750000,43.529999,44.279999,34.993183,1181300
2003-09-22,44.000000,44.330002,42.619999,42.669998,33.720852,1382400
2003-09-29,42.900002,44.540001,42.290001,44.189999,34.922066,1681300
2003-10-06,44.400002,44.950001,43.910000,44.639999,35.277679,1185500
2003-10-13,44.799999,45.220001,44.200001,44.389999,35.080109,846400
2003-10-20,44.570000,44.980000,43.369999,43.880001,34.677063,1361300
2003-10-27,44.279999,45.320000,43.869999,44.900002,35.483147,1369100
2003-11-03,44.900002,45.570000,44.680000,45.000000,35.562172,2296600
2003-11-10,45.099998,45.759998,44.509998,45.000000,35.562172,2682800
2003-11-17,44.880001,45.080002,44.130001,44.279999,34.993183,2608100
2003-11-24,44.770000,45.509998,44.619999,45.320000,35.815060,2342800
